Tag Name  Size                Font Family                   Color               height              width               margin              padding             
H1        12px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
H2        12px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
H2        12px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgba(0, 0, 0, 0.8)  auto                auto                none                none                
DIV       12px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
DIV       18px                "JetBrains Mono", monospace   rgb(0, 0, 0)        auto                auto                none                none                
